Long,Lat,Join_Count,TARGET_FID,ID,Latitude,Longitude,Region_Cod,Region_Nam
29.81139640013986,-4.460441919911312,1,1,5086,-4.46044192,29.8113964,16,Kigoma
32.889421970130215,-4.14682602988466,1,2,2226,-4.14682603,32.88942197,14,Tabora
39.24487062030272,-6.176438120165144,1,3,1258,-6.17643812,39.24487062,53,Mjini Magharibi
37.65279782031906,-6.825702149569513,1,4,331,-6.82570215,37.65279782,05,Morogoro
39.03073225037189,-7.045479509868225,1,5,5830,-7.04547951,39.03073225,07,Dar es salaam
35.80830729995454,-3.3720491600272977,1,7,6729,-3.37204916,35.8083073,02,Arusha
30.03459076999321,-4.438947349826283,1,8,4896,-4.43894735,30.03459077,16,Kigoma
32.863835820034645,-9.174398489911919,1,9,709,-9.17439849,32.86383582,12,Mbeya
31.03909501002482,-7.179645140343204,1,10,8671,-7.17964514,31.03909501,15,Rukwa
37.13774142011979,-6.362330649939416,1,11,5462,-6.36233065,37.13774142,05,Morogoro
34.495305349815965,-5.6936000900194434,1,12,6309,-5.69360009,34.49530535,13,Singida
35.99768150971577,-8.202697779883243,1,13,5419,-8.20269778,35.99768151,11,Iringa
35.83641475964288,-8.089257219731184,1,14,4886,-8.08925722,35.83641476,11,Iringa
33.43390406008658,-8.916027820221002,1,15,621,-8.91602782,33.43390406,12,Mbeya
31.03244620041629,-7.49704040000277,1,16,7300,-7.4970404,31.0324462,15,Rukwa
38.84893919997444,-6.7341630796661,1,17,4051,-6.73416308,38.8489392,06,Pwani
32.64995093042249,-3.972247059740943,1,18,8302,-3.97224706,32.64995093,17,Shinyanga
35.76941599018345,-8.033973150283531,1,19,4704,-8.03397315,35.76941599,11,Iringa
39.01630892981449,-6.784536710002901,1,20,84,-6.78453671,39.01630893,07,Dar es salaam
35.46091856035084,-8.221545569856026,1,21,5768,-8.22154557,35.46091856,11,Iringa
33.81397392025663,-3.6194911499870086,1,22,2758,-3.61949115,33.81397392,17,Shinyanga
34.82358667000153,-8.847496300236505,1,23,2536,-8.8474963,34.82358667,22,Njombe
35.12097144030629,-11.034049520109548,1,24,3301,-11.03404952,35.12097144,10,Ruvuma
30.092586049651754,-4.5759178298121315,1,25,2325,-4.57591783,30.09258605,16,Kigoma
34.73308436956694,-10.743503360051209,1,26,8863,-10.74350336,34.73308437,10,Ruvuma
31.509033940100846,-8.295917479575731,1,27,5469,-8.29591748,31.50903394,15,Rukwa
29.81092980979143,-4.4540583603959085,1,28,5107,-4.45405836,29.81092981,16,Kigoma
34.195644120122175,-4.482061690108583,1,29,8348,-4.48206169,34.19564412,13,Singida
39.19848942988218,-6.1690527598323275,1,30,3543,-6.16905276,39.19848943,53,Mjini Magharibi
30.900119589909664,-1.3387449899290713,1,31,6554,-1.33874499,30.90011959,18,Kagera
40.03890443028615,-10.20338377005957,1,32,2659,-10.20338377,40.03890443,09,Mtwara
34.56067462026577,-9.338054399638777,1,33,7501,-9.3380544,34.56067462,22,Njombe
39.02761703040881,-10.48837105985143,1,34,7769,-10.48837106,39.02761703,09,Mtwara
36.86123795984832,-3.180342089616794,1,35,4226,-3.18034209,36.86123796,02,Arusha
36.8637389396679,-7.955370099746038,1,36,7440,-7.9553701,36.86373894,05,Morogoro
35.40622893990238,-7.868046499748092,1,37,3869,-7.8680465,35.40622894,11,Iringa
30.678591489805466,-1.2618255096392714,1,38,6997,-1.26182551,30.67859149,18,Kagera
35.66559915974661,-7.782640800260412,1,39,987,-7.7826408,35.66559916,11,Iringa
39.17482281964865,-6.873695370002256,1,40,9361,-6.87369537,39.17482282,07,Dar es salaam
32.64505715040142,-2.5890764099869608,1,41,4543,-2.58907641,32.64505715,19,Mwanza
29.78760859010654,-4.61491778973115,1,42,5576,-4.61491779,29.78760859,16,Kigoma
32.91360135040604,-2.5974192098634443,1,43,2272,-2.59741921,32.91360135,19,Mwanza
36.866608519808096,-3.2173748801306243,1,44,4243,-3.21737488,36.86660852,02,Arusha
32.85322376017357,-3.7516523598932237,1,45,5755,-3.75165236,32.85322376,17,Shinyanga
38.0026557995684,-10.918859149601383,1,46,8277,-10.91885915,38.0026558,10,Ruvuma
34.95540406959107,-8.871831050050998,1,47,3007,-8.87183105,34.95540407,22,Njombe
34.16540754990422,-4.5023469095978275,1,48,9376,-4.50234691,34.16540755,13,Singida
39.28189580044526,-6.85645033028955,1,49,9301,-6.85645033,39.2818958,07,Dar es salaam
38.454524809582225,-5.072699179914946,1,50,915,-5.07269918,38.45452481,04,Tanga
35.69337586962884,-7.774543249928177,1,51,1335,-7.77454325,35.69337587,11,Iringa
39.69935179012726,-10.84771176002258,1,52,3461,-10.84771176,39.69935179,09,Mtwara
30.88618451987881,-1.5712928095870127,1,53,6652,-1.57129281,30.88618452,18,Kagera
39.23239911966876,-6.21997069032254,1,54,1251,-6.21997069,39.23239912,53,Mjini Magharibi
31.79062686041173,-1.3240641002558877,1,55,5036,-1.3240641,31.79062686,18,Kagera
39.26419557036016,-6.931021869820962,1,56,8697,-6.93102187,39.26419557,07,Dar es salaam
40.24878821014812,-10.344921710384686,1,57,1304,-10.34492171,40.24878821,09,Mtwara
37.34738616008126,-3.3522351203843668,1,58,599,-3.35223512,37.34738616,03,Kilimanjaro
37.6455323397259,-6.819065760347156,1,59,794,-6.81906576,37.64553234,05,Morogoro
33.13199358007538,-4.193169269972459,1,60,1644,-4.19316927,33.13199358,14,Tabora
35.36654286005673,-8.410753009943697,1,61,7992,-8.41075301,35.36654286,11,Iringa
35.858967430178026,-4.290468509637432,1,62,3158,-4.29046851,35.85896743,21,Manyara
